stock,price,ret
005380,23500,6.3
005380,24000,2.1
005380,24900,3.8
005380,24100,-3.2
005380,24000,-0.4
005380,23300,-2.9
005380,23100,-0.9
005380,22100,-4.3
005380,23000,4.1
005380,22850,-0.6
005380,22200,-2.8
005380,21400,-3.6
005380,21450,0.2
005380,23100,7.7
005380,22150,-4.1
005380,20700,-6.6
005380,20200,-2.4
005380,18850,-6.7
005380,19100,1.3
005380,18450,-3.4
005380,18000,-2.4
005380,20700,15.0
005380,20800,0.5
005380,19700,-5.3
005380,20300,3.0
005380,20000,-1.5
005380,20000,0.0
005380,19450,-2.8
